Nombre,Descripcion,Variedades,Precio,Ocultar,Categoria,Subcategoria,Grupo extras,Quitar,Ingredientes,Agotado,Imagen,Tamaño Imagen,LINK Subidor de imagenes
Cheeseburger Simple,Medallon 120gr cheddar salsa mil islas cebolla picada,Sin Extra,17000,,Hamburguesas,Simples,simple,simple_std,"Cebolla, Salsa mil islas, Cheddar",,,
Cheeseburger Doble,Doble medallon 120gr cheddar salsa mil islas cebolla picada,Sin Extra,22000,,Hamburguesas,Dobles,doble,doble_std,"Cebolla, Salsa mil islas, Cheddar",,,
La Destrozaaanos Simple,Medallon 120g cheddar mayonesa lechuga tomate,Sin Extra,19000,,Hamburguesas,Simples,simple,,"Cheddar, Mayonesa, Lechuga, Tomate",,,
