Nombre,Descripcion,Variedades,Precio,Ocultar,Categoria,Subcategoria,Imagen,Tamaño Imagen,LINK Subidor de imagenes
Cheeseburger Simple,Medallon 120gr cheddar salsa mil islas cebolla picada,Sin Extra,17000,,Hamburguesas,Simples,,,
Cheeseburger Simple,Medallon 120gr cheddar salsa mil islas cebolla picada,Extra cheddar,18000,,Hamburguesas,Simples,,,
Cheeseburger Simple,Medallon 120gr cheddar salsa mil islas cebolla picada,Extra bacon,18500,,Hamburguesas,Simples,,,
Cheeseburger Doble,Doble medallon 120gr cheddar salsa mil islas cebolla picada,Sin Extra,22000,,Hamburguesas,Dobles,,,
Cheeseburger Doble,Doble medallon 120gr cheddar salsa mil islas cebolla picada,Extra cheddar,23000,,Hamburguesas,Dobles,,,
Cheeseburger Doble,Doble medallon 120gr cheddar salsa mil islas cebolla picada,Extra bacon,24000,,Hamburguesas,Dobles,,,
